system:index,ID,Number,Delta Name,Region,Boundaries,Lat,Lon,DeltaArea,population_1975,population_1980,population_1985,population_1990,population_1995,population_2000,population_2005,population_2010,population_2015,population_2020,population_2025,population_2030,ESRI_water,ESRI_agri,ESRI_built,NaturalArea,GHM_mean_modification,NaturalFraction
51,1,17,Amazon,South America,"[(-110, -30), (-60, 12)]",-0.486065305,-50.63324545,6.33E+04,141497.0381,151678.1561,173983.6176,193986.7149,215713.8052,238604.1264,268513.9237,294498.6993,318451.0496,345597.7298,368398.1337,392868.0385,1.30E+04,6.74E+02,3.14E+01,4.96E+04,0.028787806,0.99
52,24,62,Batang Hari,Australia and Oceania,"[(100, 180), (-50, 9)]",-1.121445589,104.0699939,1.58E+03,79963.62629,90693.3431,102463.842,113458.7095,124071.9213,128455.6559,129302.5436,128160.7905,131307.385,141570.8,148178.6474,154826.097,1.11E+02,4.17E+02,3.15E+01,1.02E+03,0.277041898,0.7
53,82,43,Betsiboka,Africa,"[(-25, 60), (-40, 35)]",-16.02162769,46.47425499,8.91E+02,1436.334113,1778.425849,2104.89712,2587.729083,3196.231435,3866.867479,4675.058716,5377.593036,6137.541391,6914.700389,8217.302692,9992.642447,1.61E+02,1.26E+02,1.72E+00,6.02E+02,0.080443147,0.83
54,19,6,Brazos,North America,"[(-140, -50), (12, 60)]",28.99037074,-95.36669246,6.32E+02,8432.353966,9616.729958,11408.36099,11233.90733,12308.85713,13340.09779,14927.46827,17377.20556,18495.27623,17806.58773,17427.86162,17951.5105,8.30E+01,8.39E+00,5.64E+01,4.84E+02,0.506427622,0.89
55,31,86,Burdekin,Australia and Oceania,"[(100, 180), (-50, 9)]",-19.57098307,147.3356858,1.85E+03,15056.42349,15089.1304,15757.92193,16353.17101,16013.61738,17219.79386,17188.12099,17353.14867,16968.34044,16847.41233,16435.80193,15985.48703,1.39E+02,8.11E+02,3.34E+01,8.67E+02,0.186424225,0.53
0,51,75,Cagayan,Asia,"[(60, 150), (9, 60)]",18.37536244,121.548554,5.03E+02,68217.137,80912.15229,95666.94736,110907.6311,126767.7628,146680.8112,163651.7024,175624.7079,188870.4134,203226.1636,217803.6887,230453.2946,4.74E+01,2.99E+02,4.28E+01,1.14E+02,0.221463998,0.3
1,76,22,Casamance,Africa,"[(-25, 60), (-40, 35)]",12.67896865,-16.57317536,1.67E+03,1808.97193,2406.825913,3210.916674,4103.709747,4247.552597,4401.79843,4911.071818,5551.995726,6356.991119,7613.365273,9058.937403,10517.10902,4.48E+02,8.42E-01,3.06E+00,1.22E+03,0.057173425,1
2,29,36,Ceyhan Seyhan,Europe,"[(-25, 60), (35, 60)]",36.68403027,35.28375976,8.62E+02,51222.09338,54319.86182,57400.14655,60292.29035,63033.10436,65906.45176,65874.85984,64115.68488,67077.98369,66009.36522,64546.86537,65556.40363,1.60E+02,5.12E+02,1.38E+01,1.76E+02,0.367552999,0.31
3,68,60,Chao Praya,Asia,"[(60, 150), (9, 60)]",13.84789201,100.6226821,1.21E+04,5341976.828,6556710.847,7635003.31,8939503.148,1.01E+07,1.16E+07,1.36E+07,1.61E+07,1.82E+07,2.07E+07,2.25E+07,2.41E+07,2.29E+03,4.87E+03,4.22E+03,7.20E+02,0.833677396,0.24
4,69,66,Citaro,Australia and Oceania,"[(100, 180), (-50, 9)]",-6.053597347,107.2356582,8.61E+02,221120.7514,252805.4767,288842.7217,325013.5073,335732.4162,347369.3799,375721.4667,402969.3857,425983.3577,443814.0275,464408.7762,484933.593,1.70E+02,5.48E+02,8.22E+01,6.08E+01,0.452270417,0.17
5,7,5,Colorado,North America,"[(-140, -50), (12, 60)]",31.77356121,-114.9243549,2.79E+03,408.1446537,451.3390406,586.8755013,755.0161653,835.9705987,921.7968491,992.7289308,1067.666963,1136.166553,1128.243528,1163.139641,1191.219635,6.13E+02,5.29E+00,9.24E-01,2.17E+03,0.032216268,1
6,36,14,Colorado(AR),South America,"[(-110, -30), (-60, 12)]",-39.66357381,-62.23614241,1.50E+03,133.9808807,149.6015165,172.3540681,195.9547624,199.9853653,201.6240686,213.8287297,226.4732709,247.2402893,262.9135932,270.9236734,284.4161492,1.39E+02,9.41E+01,6.89E-01,1.27E+03,0.095327353,0.94
